src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.28.97.1,172.28.96.1,60600,53,17,2024-03-12 17:04:42,15734.999999999998,20146.170956466478,127.1051795360661,63.55258976803305,63.55258976803305,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,57890,53,17,2024-03-12 17:04:43,2174.0,145814.16743330265,919.963201471941,459.9816007359705,459.9816007359705,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,43551,53,17,2024-03-12 17:04:44,1608.0,197139.30348258707,1243.7810945273632,621.8905472636816,621.8905472636816,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,56108,53,17,2024-03-12 17:04:45,1866.0,169882.10075026794,1071.8113612004288,535.9056806002144,535.9056806002144,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,48662,53,17,2024-03-12 17:04:46,1684.0,188242.28028503564,1187.6484560570073,593.8242280285036,593.8242280285036,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,59126,53,17,2024-03-12 17:04:47,1588.0,199622.16624685138,1259.4458438287154,629.7229219143577,629.7229219143577,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,48469,53,17,2024-03-12 17:04:48,2747.0,115398.6166727339,728.066982162359,364.0334910811795,364.0334910811795,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,38816,53,17,2024-03-12 17:04:49,2599.0,121969.98845709888,769.5267410542516,384.7633705271258,384.7633705271258,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,34493,53,17,2024-03-12 17:04:51,1527.0,207596.59462999346,1309.757694826457,654.8788474132285,654.8788474132285,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,45411,53,17,2024-03-12 17:04:51,1984.0,159778.2258064516,1008.0645161290322,504.0322580645161,504.0322580645161,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
